empl_id,name,hire_date,grant_amount,issue_date,expiration_date,vesting_sch,total_paid,remaining
EMPL-1,Oren Etzioni,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-2,Scott Parrish,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-3,Kelli Brandl,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-4,James Allard,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-5,Isaac Cowhey,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-6,Alida Hammond,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-7,Peter Clark,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-8,Mark Hopkins,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-9,Nilo Dutta Roy,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-10,Ashish Sabharwal,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-11,Kevin Humphreys,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-12,Santosh Divvala,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-13,Anthony Fader,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-14,Tushar Khot,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-15,Oyvind Tafjord,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-16,Jesse Kinkead,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-17,Vu Ha,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-18,Rodney Kinney,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-19,Carissa Schoenick,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-20,Michael Schmitz,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-21,Peter Turney,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-22,Sumitra Bhakthavatsalam,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-23,Mark Schaake,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-24,Dirk Groeneveld,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-25,Jake Mannix,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-26,Sam Skjonsberg,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-27,Ingmar Ellenberger,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-28,Roozbeh Mottaghi,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-29,Christian Petrescu-Prahova,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-30,Aniruddha Kembhavi,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-31,Aria Haghighi,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-32,Jayant Krishnamurthy,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-33,Amos Ng,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-34,Roie Levin,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-35,Noah Siegel,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-36,Been Kim,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-37,Bhavana Dalvi,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-38,Mike Salvato,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-39,Eric Kolve,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-40,Ali Farhadi,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-41,Xuchen Yao,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-42,Vicente Ordonez Roman,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-43,Greer Fowler,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-44,Mohammad Rastegari,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-45,Hiram Brown,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
EMPL-46,Chris Clark,1/1/14,50000,1/1/14,1/1/18,.21-.25-25-.29,50000,0
,,,,,,,,
